City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,chonchi,-42.6128,-73.8092,6.56,64,5,1.81,CL,1685205383
1,talnakh,69.4865,88.3972,5.67,99,87,4.51,RU,1685205383
2,runaway bay,18.4596,-77.3357,28.66,74,74,3.4,JM,1685205383
3,invercargill,-46.4,168.35,5.97,85,9,2.67,NZ,1685205117
4,petropavlovsk-kamchatsky,53.0452,158.6483,3.33,87,75,2.0,RU,1685205383
5,adamstown,-25.066,-130.1015,23.67,73,78,10.52,PN,1685205383
6,ribeira grande,38.5167,-28.7,20.22,60,75,8.49,PT,1685205383
7,waitangi,-43.9535,-176.5597,13.79,95,100,1.79,NZ,1685205384
8,amla,21.9333,78.1167,30.48,30,16,2.06,IN,1685205384
9,longyearbyen,78.2186,15.6401,-1.09,47,0,2.06,SJ,1685205384
10,turkmenbasy,40.0222,52.9552,24.43,60,0,3.09,TM,1685205384
11,avarua,-21.2078,-159.775,25.03,83,100,3.6,CK,1685205384
12,grytviken,-54.2811,-36.5092,2.35,93,46,4.38,GS,1685205384
13,tura,25.5198,90.2201,21.87,87,53,1.57,IN,1685205384
14,edinburgh of the seven seas,-37.0676,-12.3116,12.32,54,74,4.5,SH,1685205385
15,freetown,8.484,-13.2299,29.84,70,40,4.12,SL,1685205385
16,jiwani,25.05,61.7417,30.47,79,0,8.46,PK,1685205385
17,sake,-1.5736,29.045,17.71,94,100,1.39,CD,1685205385
18,antsiranana,-12.2787,49.2917,24.82,77,0,6.01,MG,1685205385
19,bredasdorp,-34.5322,20.0403,10.54,70,4,1.05,ZA,1685205386
20,puerto natales,-51.7236,-72.4875,6.25,52,75,11.83,CL,1685205386
21,vilyuysk,63.7553,121.6247,5.47,88,100,2.85,RU,1685205386
22,marsabit,2.3284,37.9899,20.43,57,90,9.35,KE,1685205386
23,jamestown,42.097,-79.2353,23.07,29,0,2.06,US,1685205157
24,blackmans bay,-43.0167,147.3167,12.63,75,100,0.83,AU,1685205386
25,margaret river,-33.95,115.0667,15.18,68,90,2.03,AU,1685205386
26,nago,26.5881,127.9761,24.24,93,87,6.14,JP,1685205387
27,alice springs,-23.7,133.8833,1.75,80,14,3.37,AU,1685205387
